Sample ID,Date,Common,Species,Fish #,Method,Site,Time capture,Fyke_Num,Wet mass (g),Total L (cm),Fork L (cm),Sex,Gut content,Gut fullness (1-5),Liver mass (g),Gonad mass (g),Tags,Tag ID VEMCO,Tag ID FLOY,MK10 ID,Surgeon,Assistant,Time under,Tag activated,Surgery start,Surgery done,Surgery time,Recovered,Released,Recovery time,Total handling time,lat,long,Waypoint,Net set,Total captured,Fin clip,Muscle,Liver,Whole,Pics,Subsistence,Notes
S22,2/8/2017,Slimy sculpin,Cottus cognatus cognatus ,21,Fyke net,Fyke 1 (river),,3,18.3,14,,F,"digested 3Gammarus/Onisimus, grit",4,0.6,0.3,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,Y,Y,,,,changed from 21 to 22
FH79,2/8/2017,Four horn sculpin,Myoxocephalus quadricornis,79,Fyke net,Fyke 1 (river),,3,84.8,24,,F,"11 Gammarus or Onisimus, 10 krill, 1 large chironomid larvae",3,3.4,3,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,Y,Y,,,,
FH78,2/8/2017,Four horn sculpin,Myoxocephalus quadricornis,78,Fyke net,Fyke 1 (river),,3,114.4,23.3,,F,"2 krill, 3 Gammarus or Onisimus, 3 large chironomid larvae",2,5.7,3.6,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,Y,Y,,,,
S31,3/8/2017,Slimy sculpin,Cottus cognatus cognatus ,30,Fyke net,Fyke 3,5:20,5,45.4,15.6,,F,"3 Gammarus/Onisimus, 3 giant chironomid",4,1.9,1.3,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,gray liver and eggs
S30,3/8/2017,Slimy sculpin,Cottus cognatus cognatus ,29,Fyke net,Fyke 3,5:20,5,49.3,15.4,,F,"5 krill, grit, 5 Gammarus/Onisimus",4,2.3,1.3,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,
S26,3/8/2017,Slimy sculpin,Cottus cognatus cognatus ,25,Fyke net,Fyke 3,5:20,5,59.7,16,,F,1 Gammarus/Onisimus,1,3.3,1.9,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,
S24,3/8/2017,Slimy sculpin,Cottus cognatus cognatus ,23,Fyke net,Fyke 3,5:20,5,69.7,17.7,,F,"16 Gammarus/Onisimus, many parasites in gut",3,3.5,2.3,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,
S29,3/8/2017,Slimy sculpin,Cottus cognatus cognatus ,28,Fyke net,Fyke 3,5:20,5,72.2,17.6,,F,"7 amphipod, 1 Gammaracanthus sp., 3 krill, parasites in gut",4,3.5,2.2,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,
S28,3/8/2017,Slimy sculpin,Cottus cognatus cognatus ,27,Fyke net,Fyke 3,5:20,5,73.4,18,,F,"1 jelly fish, 4 amphipods, 1 Gammaracanthus sp., parasites in gut",3,3,3.8,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,
S25,3/8/2017,Slimy sculpin,Cottus cognatus cognatus ,24,Fyke net,Fyke 3,5:20,5,73.7,17.7,,F,"1 Gammaracanthus sp., 11 amphipods",4,3.8,3.7,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,
