X,Y
-81.29460729,72.27147077
-81.28800126,72.27320797
-81.2795936,72.27467074
-81.27358812,72.27567633
-81.27058538,72.27805295
-81.26217772,72.27997231
-81.25377005,72.28161731
-81.2486654,72.28335354
-81.2417591,72.28536371
-81.2303487,72.28755637
-81.22134049,72.28910934
-81.21713665,72.29111888
-81.21623583,72.29276288
-81.21443419,72.29385879
-81.21173173,72.29422409
-81.20542598,72.29404144
-81.19701831,72.29358482
-81.19191366,72.29358482
-81.18951147,72.29422409
-81.18861065,72.29541123
-81.18380627,72.2977853
-81.1823049,72.29888091
-81.18290545,72.29988517
-81.19011202,72.30234994
-81.1949164,72.30262378
-81.19731859,72.3029889
-81.19821941,72.30399293
-81.19731859,72.30527071
-81.19281448,72.30627462
-81.19011202,72.30663966
-81.18981174,72.30837352
-81.1937153,72.31010721
-81.1949164,72.31019845
-81.1949164,72.31348288
-81.19041229,72.31457756
-81.19191366,72.31722276
-81.19011202,72.31831721
-81.19011202,72.3194116
-81.18710928,72.32232964
-81.18710928,72.32433553
-81.186809,72.32597655
-81.18410654,72.32761741
-81.18320572,72.32980501
-81.18020298,72.33627511
-81.17720024,72.33919046
-81.17269614,72.34046578
-81.16759148,72.34328939
-81.15978437,72.34611256
-81.15287807,72.34747845
-81.14957506,72.34902633
-81.10153126,72.35448842
-81.09882879,72.35767388
-81.09942934,72.36076779
-81.09702715,72.36331532
-81.09792797,72.3650438
-81.09702715,72.367045
-81.09342386,72.36840932
-81.09012085,72.37359282
-81.079311,72.37422929
-81.07210443,72.37868395
-81.06850114,72.37968382
-81.06579868,72.38122897
-81.06459758,72.38241047
-81.0609943,72.38377365
-81.04387869,72.39167804
-81.03517075,72.39313134
-81.03336911,72.39485699
-81.03727267,72.3967641
-81.03487048,72.39912501
-81.02856473,72.40066851
-81.02706336,72.40330124
-81.02586227,72.40547976
-81.01655378,72.40865631
-81.01475214,72.41028974
-81.00844639,72.41156009
-81.00574392,72.41391908
-81.00244091,72.41673131
-81.00184037,72.41818261
-80.99943818,72.42026866
-80.99733626,72.42108487
-80.99793681,72.42289855
-80.99373297,72.42634404
-80.99042996,72.42815719
-80.98442449,72.43178295
-80.98262284,72.43386744
-80.9808212,72.43595168
-80.97811874,72.43785448
-80.97481573,72.43930409
-80.97451545,72.4407536
-80.96971107,72.44256531
-80.96700861,72.44419569
-80.96460642,72.44573537
-80.96100313,72.44682212
-80.95830067,72.44818046
-80.95709957,72.44962926
-80.95529793,72.45044415
-80.95229519,72.45080631
-80.94749081,72.45089685
-80.94478835,72.45116847
-80.93878288,72.45306967
-80.93698123,72.4542465
-80.93367822,72.45515171
-80.9339785,72.45759553
-80.9315763,72.45904357
-80.92887384,72.460401
-80.92286837,72.46121541
-80.91986563,72.46230123
-80.90845523,72.46230123
-80.90575276,72.46257268
-80.90335057,72.46302508
-80.90275002,72.4647441
-80.90094838,72.46727709
-80.89404208,72.46990017
-80.88593469,72.47062371
-80.87992922,72.4732463
-80.8778273,72.47541644
-80.86821854,72.4774055
-80.86851881,72.47993672
-80.86731772,72.48111181
-80.86431498,72.48174452
-80.86341416,72.48273873
-80.85800923,72.48382326
-80.84539773,72.48319062
-80.84179445,72.4843655
-80.83458788,72.48544993
-80.83008377,72.4865343
-80.82918295,72.49168417
-80.82347775,72.4917745
-80.81867337,72.49231651
-80.81356872,72.49583913
-80.80395996,72.49945136
-80.79495174,72.50360454
-80.791949,72.50468782
-80.79104818,72.5058613
-80.78594353,72.50847879
-80.78234024,72.51344195
-80.76972875,72.51867435
-80.76252218,72.52201146
-80.75141205,72.5255283
-80.73729918,72.5291346
-80.72829097,72.53210925
-80.72708987,72.53183885
-80.71057481,72.53670548
-80.70366852,72.5389581
-80.70186688,72.53994916
-80.68985593,72.54382281
-80.68775401,72.54373273
-80.68355018,72.54571428
-80.67364114,72.54805583
-80.66643457,72.55048712
-80.66313156,72.55120744
-80.65412335,72.55219783
-80.64871842,72.5532782
-80.57515135,72.51308104
-80.59106586,72.50929103
-80.60397763,72.50486836
-80.61568831,72.50170864
-80.62890035,72.49737442
-80.63040172,72.49764534
-80.63730802,72.49601976
-80.64151185,72.49538755
-80.64571568,72.49385209
-80.6478176,72.49249717
-80.65262198,72.49132282
-80.65802691,72.49005805
-80.66793594,72.48544993
-80.67123895,72.48445587
-80.67424169,72.48373288
-80.67724443,72.48355213
-80.67844552,72.4823772
-80.6832499,72.47903275
-80.68535182,72.47704387
-80.6889551,72.47505477
-80.69375948,72.47460267
-80.69736277,72.47297502
-80.70126633,72.47152809
-80.70126633,72.4688148
-80.70877317,72.46637249
-80.71117536,72.4647441
-80.71387783,72.4629346
-80.71748111,72.46085346
-80.72288604,72.45940556
-80.72859124,72.45768604
-80.73279507,72.45732401
-80.73549754,72.45623789
-80.73789973,72.45379388
-80.74330465,72.45225489
-80.74750849,72.45116847
-80.75261314,72.45017252
-80.75591615,72.45044415
-80.76132108,72.45008198
-80.76822738,72.45035361
-80.77423285,72.44854267
-80.77723559,72.44953871
-80.7817397,72.44754658
-80.79645311,72.44718435
-80.80335941,72.44736547
-80.81446954,72.44673156
-80.83789089,72.44836157
-80.85140321,72.45008198
-80.85800923,72.45035361
-80.86101197,72.44981035
-80.86611662,72.44890487
-80.87332319,72.44845212
-80.8790284,72.44763714
-80.87932867,72.4470938
-80.8778273,72.44609763
-80.87722675,72.4421124
-80.8721221,72.4387605
-80.87302292,72.43703902
-80.87482456,72.43441118
-80.8778273,72.43268928
-80.87752703,72.43132977
-80.87662621,72.43024209
-80.87722675,72.42262651
-80.87932867,72.42199174
-80.88022949,72.42117556
-80.88533415,72.41954311
-80.89254072,72.41110641
-80.90154893,72.40793029
-80.90425139,72.407295
-80.90455167,72.40602435
-80.91025687,72.40239345
-80.91386015,72.40184875
-80.91506125,72.40085009
-80.93427877,72.39349465
-80.94869191,72.38595451
-80.95890122,72.37877485
-80.96400587,72.37686585
-80.96640806,72.3746839
-80.97091217,72.37213795
-80.97811874,72.36986449
-80.98142175,72.36840932
-80.98382394,72.367045
-80.99012969,72.36495283
-80.99493407,72.36304239
-80.99823708,72.36258749
-81.00514338,72.36058581
-81.01114885,72.36003986
-81.02045734,72.35803789
-81.02856473,72.35630875
-81.03186774,72.35521657
-81.03276856,72.35394228
-81.04027541,72.35221275
-81.05498882,72.34829793
-81.06219539,72.34729633
-81.07060306,72.34593043
-81.07330552,72.3449287
-81.07480689,72.34347154
-81.07480689,72.34146776
-81.07480689,72.33946375
-81.0781099,72.33818836
-81.08741839,72.33509061
-81.09222277,72.33345042
-81.09372414,72.33190121
-81.09882879,72.32789088
-81.10543481,72.3229679
-81.1090381,72.32096187
-81.11023919,72.31813481
-81.11174056,72.31457756
-81.11624467,72.31019845
-81.12255042,72.30800851
-81.12705453,72.30682218
-81.12915644,72.30152839
-81.13336027,72.29687223
-81.13756411,72.29486333
-81.14897451,72.29312819
-81.15227752,72.29102754
-81.15317834,72.28755637
-81.15528026,72.28609462
-81.15888354,72.28508961
-81.16098546,72.28417591
-81.16939313,72.28280528
-81.18140408,72.28125177
-81.19011202,72.27960673
-81.19551694,72.27869276
-81.19701831,72.27814435
-81.19521667,72.27741312
-81.1937153,72.27567633
-81.19551694,72.27302511
-81.19881995,72.27137934
-81.20032132,72.26689842
-81.20272351,72.26506916
-81.20752789,72.26314824
-81.21293282,72.26177604
-81.2189383,72.26040373
-81.22524405,72.26012925
-81.22854706,72.2593973
-81.22944788,72.25537104
-81.2315498,72.2534491
-81.23275089,72.25143543
-81.23695472,72.24887226
-81.24446157,72.24722431
-81.25226868,72.24585091
-81.25947526,72.24575935
-81.27238703,72.24722431
-81.29460729,72.25070313
-81.30301495,72.25079467
-81.30721878,72.25006235
-81.31052179,72.2491469
-81.31532618,72.24740742
-81.33154096,72.24337853
-81.33604506,72.24255433
-81.34505328,72.24209642
-81.35316067,72.24136375
-81.36787408,72.23998991
-81.37387956,72.23953194
-81.37748284,72.23989832
-81.37988503,72.24063105
-81.38108613,72.24145534
-81.37988503,72.24292065
-81.37297874,72.24438584
-81.369976,72.24603404
-81.35886587,72.24685808
-81.34835629,72.24905535
-81.3345437,72.253083
-81.3264363,72.25665222
-81.32733713,72.2593058
-81.32853822,72.26122712
-81.32913877,72.26223345
-81.32583576,72.26305677
-81.32553548,72.26397152
-81.31922973,72.26433741
-81.31352453,72.2636971
-81.30781933,72.2636971
-81.2967092,72.26177604
-81.29160455,72.26095266
-81.28800126,72.26058671
-81.28619962,72.26076969
-81.28770099,72.26232493
-81.29370646,72.2633312
-81.29911139,72.26351415
-81.29971194,72.2649777
-81.30091303,72.2655265
-81.30091303,72.26662405
-81.30301495,72.26918474
-81.30421605,72.26927619
-81.3024144,72.27028207
-81.29881112,72.27064783
-81.29460729,72.27137934
-81.29460729,72.27147077
