"","St.1","St.2","St.3","St.4","St.5","St.6","St.7","St.8","St.9","St.10","St.11","St.12","St.13","St.14","St.15","St.16","St.17","St.18","St.19","St.20","St.21","St.22","St.23","St.24","St.25","St.26","St.27","St.28","St.29","St.30","St.31","St.32","St.33","St.34","St.35","St.36","St.37","Camp"
"St.1",0,595,4001,3859,4093,4407,4625,4871,4120,3772,3511,3418,3469,6688,6940,6829,7006,11538,11261,11109,10958,11046,10239,9892,9546,9200,9170,9195,14032,13697,13733,13397,13406,13241,13350,13388,17461,677
"St.2",595,0,4168,4001,3976,4190,4408,4654,4338,3990,3709,3298,3302,6548,6800,6688,6866,11398,11121,10969,10818,10906,10023,9677,9330,9301,9312,9337,14174,13839,13875,13539,13548,13342,13235,13174,17247,1133
"St.3",4001,4168,0,594,1159,1724,2319,2816,7821,7473,7511,7419,7444,10688,10940,10829,11007,15538,15260,15109,14958,15046,6675,6328,5982,5635,5289,5195,10032,9696,9851,9595,9801,9675,9785,9823,13895,3426
"St.4",3859,4001,594,0,565,1130,1725,2222,7899,7550,7370,7278,7302,10547,10799,10688,10866,15397,15120,14968,14817,14905,6459,6112,5766,5420,5312,5337,10174,9838,9874,9539,9586,9460,9570,9608,13681,3504
"St.5",4093,3976,1159,565,0,565,1159,1657,8212,7864,7585,7254,7278,10523,10776,10664,10841,15373,15096,14945,14794,14881,6146,5800,5453,5326,5337,5363,10200,9864,9900,9564,9572,9367,9259,9297,13370,3817
"St.6",4407,4190,1724,1130,565,0,594,1092,8526,8178,7898,7488,7353,10599,10851,10740,10917,15548,15271,15120,14969,14958,5834,5487,5340,5351,5363,5484,10226,9890,9925,9590,9598,9392,9284,9223,13257,4131
"St.7",4625,4408,2319,1725,1159,594,0,498,8744,8396,8116,7705,7570,10816,11069,10957,11134,15766,15489,15337,15186,15175,5618,5470,5482,5493,5601,5744,10369,10033,10068,9732,9740,9535,9426,9365,13399,4349
"St.8",4871,4654,2816,2222,1657,1092,498,0,8990,8642,8362,7952,7817,11063,11315,11203,11381,16012,15735,15584,15432,15421,5512,5523,5535,5623,5750,5940,10455,10112,10122,9786,9794,9588,9480,9418,13452,4595
"St.9",4120,4338,7821,7899,8212,8526,8744,8990,0,600,1132,1670,2236,3467,3797,3817,4045,8236,7959,7807,7656,7744,14357,14010,13664,13317,12991,13016,17853,17517,17553,17277,17484,17358,17467,17505,21578,4395
"St.10",3772,3990,7473,7550,7864,8178,8396,8642,600,0,532,1070,1636,3292,3604,3584,3802,8090,7813,7662,7511,7598,14009,13662,13316,12969,12643,12668,17504,17169,17205,16929,17135,17009,17119,17157,21229,4047
"St.11",3511,3709,7511,7370,7585,7898,8116,8362,1132,532,0,537,1104,3177,3461,3401,3609,8027,7750,7598,7447,7535,13730,13384,13037,12691,12681,12706,17542,17207,17243,16908,16917,16732,16842,16880,20952,4085
"St.12",3418,3298,7419,7278,7254,7488,7705,7952,1670,1070,537,0,566,3270,3522,3410,3601,8120,7843,7691,7540,7628,13321,12974,12628,12578,12589,12614,17450,17115,17151,16816,16825,16620,16512,16471,20545,3993
"St.13",3469,3302,7444,7302,7278,7353,7570,7817,2236,1636,1104,566,0,3406,3498,3387,3564,8375,8098,7947,7796,7645,13187,12840,12593,12603,12614,12639,17475,17140,17176,16841,16849,16644,16537,16476,20510,4101
"St.14",6688,6548,10688,10547,10523,10599,10816,11063,3467,3292,3177,3270,3406,0,364,596,789,4970,4693,4541,4390,4358,16433,16086,15839,15848,15858,15883,20719,20384,20420,20085,20094,19889,19782,19722,23756,7262
"St.15",6940,6800,10940,10799,10776,10851,11069,11315,3797,3604,3461,3522,3498,364,0,272,465,4918,4641,4489,4338,4186,16685,16338,16091,16100,16110,16135,20972,20636,20673,20337,20346,20142,20034,19974,24008,7514
"St.16",6829,6688,10829,10688,10664,10740,10957,11203,3817,3584,3401,3410,3387,596,272,0,233,5189,4912,4761,4609,4458,16573,16227,15979,15989,15999,16024,20861,20525,20561,20226,20235,20030,19923,19862,23896,7403
"St.17",7006,6866,11007,10866,10841,10917,11134,11381,4045,3802,3609,3601,3564,789,465,233,0,5132,4855,4703,4552,4401,16750,16404,16156,16166,16177,16201,21038,20703,20739,20404,20413,20208,20100,20040,24074,7581
"St.18",11538,11398,15538,15397,15373,15548,15766,16012,8236,8090,8027,8120,8375,4970,4918,5189,5132,0,403,931,1459,1987,21382,21035,20689,20698,20708,20732,25569,25234,25270,24935,24944,24739,24632,24572,28606,12112
"St.19",11261,11121,15260,15120,15096,15271,15489,15735,7959,7813,7750,7843,8098,4693,4641,4912,4855,403,0,528,1056,1584,21104,20758,20412,20421,20430,20455,25292,24956,24993,24658,24667,24462,24355,24295,28329,11835
"St.20",11109,10969,15109,14968,14945,15120,15337,15584,7807,7662,7598,7691,7947,4541,4489,4761,4703,931,528,0,528,1056,20953,20607,20260,20269,20279,20304,25141,24805,24841,24506,24515,24311,24204,24143,28177,11683
"St.21",10958,10818,14958,14817,14794,14969,15186,15432,7656,7511,7447,7540,7796,4390,4338,4609,4552,1459,1056,528,0,528,20802,20455,20109,20118,20128,20152,24989,24654,24690,24355,24364,24159,24052,23992,28026,11532
"St.22",11046,10906,15046,14905,14881,14958,15175,15421,7744,7598,7535,7628,7645,4358,4186,4458,4401,1987,1584,1056,528,0,20791,20445,20197,20206,20216,20240,25077,24742,24778,24443,24452,24247,24140,24080,28114,11620
"St.23",10239,10023,6675,6459,6146,5834,5618,5512,14357,14009,13730,13321,13187,16433,16685,16573,16750,21382,21104,20953,20802,20791,0,598,1196,1794,2392,2956,5260,4920,4834,4494,4405,4187,4020,3934,7955,9962
"St.24",9892,9677,6328,6112,5800,5487,5470,5523,14010,13662,13384,12974,12840,16086,16338,16227,16404,21035,20758,20607,20455,20445,598,0,598,1196,1794,2358,5072,4732,4683,4340,4291,4072,3957,3896,7929,9615
"St.25",9546,9330,5982,5766,5453,5340,5482,5535,13664,13316,13037,12628,12593,15839,16091,15979,16156,20689,20412,20260,20109,20197,1196,598,0,598,1196,1760,4945,4603,4587,4252,4259,4054,3945,3883,7917,9269
"St.26",9200,9301,5635,5420,5326,5351,5493,5623,13317,12969,12691,12578,12603,15848,16100,15989,16166,20698,20421,20269,20118,20206,1794,1196,598,0,598,1162,4876,4540,4575,4239,4247,4041,4151,4189,8262,8922
"St.27",9170,9312,5289,5312,5337,5363,5601,5750,12991,12643,12681,12589,12614,15858,16110,15999,16177,20708,20430,20279,20128,20216,2392,1794,1196,598,0,564,4863,4527,4562,4306,4512,4386,4496,4534,8606,8596
