"Release_date","Species","Tag_Type","Tag_ID","Mass","TL","Year","Burden","Recovered"
2017-08-25,"Fourhorn","V9","1627",126,23.5,"2017",0.0285714285714286,"Detected"
2017-09-01,"Fourhorn","V5","8863",146.5,25,"2017",0.00443686006825939,"Undetected"
2017-09-01,"Fourhorn","V5","8932",166,25.5,"2017",0.00391566265060241,"Undetected"
2017-09-01,"Fourhorn","V5","8909",255.5,30,"2017",0.0025440313111546,"Undetected"
2017-09-01,"Slimy","V5","8865",92.1,19.4,"2017",0.00705754614549403,"Detected"
2017-08-02,"Fourhorn","V9","1632",23.1,28.2,"2017",0.155844155844156,"Detected"
2017-08-02,"Slimy","V9","1626",74,18,"2017",0.0486486486486487,"Detected"
2017-08-02,"Slimy","V9","1625",81.6,18,"2017",0.0441176470588235,"Detected"
2017-08-02,"Fourhorn","V9","1631",148.5,23.5,"2017",0.0242424242424242,"Detected"
2017-08-02,"Fourhorn","V9","1628",149.1,26.5,"2017",0.0241448692152918,"Detected"
2017-08-02,"Fourhorn","V9","1633",199.6,26.2,"2017",0.0180360721442886,"Detected"
2017-08-02,"Fourhorn","V9","1630",215.5,28.2,"2017",0.0167053364269142,"Detected"
2017-09-02,"Fourhorn","V5","9157",136.3,23,"2017",0.00476889214966985,"Undetected"
2017-09-02,"Slimy","V5","9175",140.2,20.5,"2017",0.00463623395149786,"Detected"
2017-09-02,"Fourhorn","V5","9163",NA,NA,"2017",NA,"Undetected"
2017-09-02,"Fourhorn","V5","9171",NA,NA,"2017",NA,"Undetected"
2017-09-04,"Slimy","V5","8986",75.4,18.5,"2017",0.00862068965517241,"Detected"
2017-09-04,"Slimy","V5","9003",93.7,18.1,"2017",0.00693703308431163,"Undetected"
2017-09-04,"Fourhorn","V5","9006",111.7,21.9,"2017",0.00581915846016115,"Undetected"
2017-09-04,"Fourhorn","V5","9019",171.6,26.3,"2017",0.00378787878787879,"Undetected"
2017-09-05,"Fourhorn","V5","9132",107.7,22.4,"2017",0.00603528319405757,"Undetected"
2017-09-05,"Fourhorn","V5","9144",125.8,22.9,"2017",0.00516693163751987,"Undetected"
2017-09-05,"Fourhorn","V5","9192",135.4,23.6,"2017",0.00480059084194978,"Undetected"
2017-09-06,"Slimy","V5","9056",87.5,18.4,"2017",0.00742857142857143,"Detected"
2017-09-06,"Fourhorn","V5","9461",124.4,22.5,"2017",0.00522508038585209,"Undetected"
2017-09-06,"Fourhorn","V5","9053",182.6,28,"2017",0.00355969331872946,"Undetected"
2017-09-06,"Fourhorn","V5","9465",197.7,26.5,"2017",0.00328780981284775,"Detected"
2017-09-07,"Slimy","V5","9299",34.5,13,"2017",0.0188405797101449,"Undetected"
2017-09-07,"Slimy","V5","9426",35.1,13,"2017",0.0185185185185185,"Undetected"
2017-09-07,"Fourhorn","V5","9335",39.4,16,"2017",0.016497461928934,"Undetected"
2017-09-07,"Slimy","V5","9368",44.6,14.2,"2017",0.0145739910313901,"Undetected"
2017-09-07,"Slimy","V5","9414",69.3,16,"2017",0.00937950937950938,"Detected"
2017-09-07,"Slimy","V5","9451",127.9,20,"2017",0.00508209538702111,"Detected"
2017-09-07,"Fourhorn","V5","9144",133,23.5,"2017",0.00488721804511278,"Undetected"
2017-09-07,"Fourhorn","V5","9350",191.4,24,"2017",0.00339602925809822,"Detected"
2017-09-07,"Fourhorn","V5","9024",207.4,27,"2017",0.00313404050144648,"Detected"
2017-09-09,"Slimy","V5","9296",34.4,13.5,"2017",0.0188953488372093,"Undetected"
2017-09-09,"Slimy","V5","9292",35.3,14,"2017",0.0184135977337111,"Undetected"
2017-09-09,"Slimy","V5","9252",51.2,14.5,"2017",0.0126953125,"Undetected"
2017-09-09,"Fourhorn","V5","9229",86.3,21.5,"2017",0.00753186558516802,"Undetected"
2017-09-09,"Fourhorn","V5","9273",148.3,25,"2017",0.00438300741739717,"Undetected"
2017-08-10,"Slimy","V9","1629",114.3,19.8,"2017",0.031496062992126,"Detected"
2017-08-10,"Slimy","V9","1624",117.9,21,"2017",0.0305343511450382,"Detected"
2017-08-16,"Slimy","V9","1623",118.5,21,"2017",0.030379746835443,"Detected"
2017-08-16,"Fourhorn","V9","1622",199.7,26.5,"2017",0.0180270405608413,"Detected"
2017-08-16,"Fourhorn","V9","1620",264.8,29.5,"2017",0.013595166163142,"Detected"
2017-08-20,"Slimy","V5","8683",79.1,19.1,"2017",0.00821744627054362,"Detected"
2017-08-20,"Slimy","V5","8656",88.9,19.4,"2017",0.00731158605174353,"Detected"
2017-08-20,"Slimy","V5","8668",90.8,18.5,"2017",0.00715859030837004,"Detected"
2017-08-21,"Fourhorn","V5","8702",40,16,"2017",0.01625,"Undetected"
2017-07-22,"Fourhorn","V9","1642",180,26,"2017",0.02,"Detected"
2017-07-22,"Fourhorn","V9","1635",180,23.5,"2017",0.02,"Detected"
2017-07-22,"Fourhorn","V9","1634",200,25,"2017",0.018,"Detected"
2017-07-22,"Fourhorn","V9","1641",200,24.3,"2017",0.018,"Detected"
2017-07-22,"Fourhorn","V9","1636",250,29,"2017",0.0144,"Detected"
2017-08-22,"Fourhorn","V9","1621",52,17.4,"2017",0.0692307692307692,"Detected"
2017-08-22,"Slimy","V9","1613",116.7,20.5,"2017",0.0308483290488432,"Detected"
2017-07-24,"Fourhorn","V9","1639",158,25.5,"2017",0.0227848101265823,"Detected"
2017-07-24,"Fourhorn","V9","1638",162,24.2,"2017",0.0222222222222222,"Detected"
2017-07-24,"Fourhorn","V9","1640",228,27.5,"2017",0.0157894736842105,"Detected"
2017-07-24,"Fourhorn","V9","1637",275,29,"2017",0.0130909090909091,"Detected"
2017-08-24,"Fourhorn","V5","8768",110,22.5,"2017",0.00590909090909091,"Undetected"
2017-08-24,"Fourhorn","V5","8787",123,23,"2017",0.00528455284552846,"Detected"
2017-08-24,"Fourhorn","V9","1615",142.5,23.5,"2017",0.0252631578947368,"Detected"
2017-08-24,"Fourhorn","V9","1618",146.2,23,"2017",0.0246238030095759,"Detected"
2017-08-24,"Fourhorn","V9","1616",154,24.5,"2017",0.0233766233766234,"Detected"
2017-08-24,"Fourhorn","V5","9440",NA,NA,"2017",NA,"Undetected"
2017-08-26,"Fourhorn","V5","8834",40,16.5,"2017",0.01625,"Undetected"
2017-08-26,"Slimy","V5","8848",80.4,17.7,"2017",0.00808457711442786,"Detected"
2017-08-26,"Fourhorn","V9","1617",105.4,21.5,"2017",0.0341555977229602,"Detected"
2017-08-27,"Fourhorn","V5","8812",100,23,"2017",0.0065,"Undetected"
2017-08-27,"Fourhorn","V5","8805",145,24,"2017",0.00448275862068965,"Undetected"
2017-08-27,"Fourhorn","V9","1614",153,24.5,"2017",0.0235294117647059,"Detected"
2017-08-27,"Fourhorn","V9","1619",351,28,"2017",0.0102564102564103,"Detected"
2017-08-28,"Slimy","V5","8938",41.4,14,"2017",0.0157004830917874,"Undetected"
2018-08-07,"Fourhorn","V9","6458",80,22.6,"2018",0.045,"Detected"
2018-08-02,"Fourhorn","V9","6453",200,25.2,"2018",0.018,"Detected"
2018-08-09,"Fourhorn","V9","6448",135.3,24.4,"2018",0.0266075388026608,"Detected"
2018-08-09,"Fourhorn","V9","6447",183.4,24.2,"2018",0.019629225736096,"Detected"
2018-08-09,"Fourhorn","V9","6446",155.1,23.4,"2018",0.02321083172147,"Detected"
2018-08-08,"Fourhorn","V9","6455",221.1,26.6,"2018",0.0162822252374491,"Detected"
2018-08-08,"Fourhorn","V9","6454",124.6,22.8,"2018",0.028892455858748,"Detected"
2018-08-08,"Fourhorn","V9","6457",185.1,26.4,"2018",0.0194489465153971,"Detected"
2018-08-08,"Fourhorn","V9","6456",200,30,"2018",0.018,"Detected"
2018-08-13,"Fourhorn","V9","6449",159.4,26,"2018",0.0225846925972397,"Detected"
2018-08-13,"Fourhorn","V9","6450",62.6,19.6,"2018",0.0575079872204473,"Detected"
2018-08-13,"Fourhorn","V9","6441",50.2,17.4,"2018",0.0717131474103586,"Detected"
2018-08-13,"Fourhorn","V9","6442",53.6,18,"2018",0.0671641791044776,"Detected"
2018-08-13,"Fourhorn","V9","6439",151.2,25.6,"2018",0.0238095238095238,"Detected"
2018-08-13,"Fourhorn","V9","6440",168.8,25.6,"2018",0.0213270142180095,"Detected"
2018-08-18,"Fourhorn","V9","6445",121.6,24.4,"2018",0.0296052631578947,"Detected"
2018-08-18,"Fourhorn","V9","6452",165.7,25.6,"2018",0.0217260108630054,"Detected"
2018-08-16,"Fourhorn","V9","6443",126,23.8,"2018",0.0285714285714286,"Undetected"
2018-08-16,"Fourhorn","V9","6444",57.8,18.6,"2018",0.0622837370242215,"Detected"
2018-08-16,"Fourhorn","V9","6451",135.1,25.8,"2018",0.0266469282013323,"Detected"
2019-08-12,"Fourhorn","V9","18148",98.8,25.2,"2019",0.0364372469635628,"Detected"
2019-08-14,"Fourhorn","V9","18149",93.8,22,"2019",0.0383795309168444,"Detected"
2019-08-14,"Fourhorn","V9","18150",65.3,20.4,"2019",0.0551301684532925,"Detected"
2019-08-15,"Fourhorn","V9A","8048",110.1,29,"2019",0.0326975476839237,"Detected"
2019-08-15,"Fourhorn","V9","18147",58.7,19.6,"2019",0.0613287904599659,"Detected"
2019-08-16,"Fourhorn","V9A","8046",142.2,24.7,"2019",0.0253164556962025,"Detected"
2019-08-16,"Fourhorn","V9","18146",38.6,17.3,"2019",0.0932642487046632,"Detected"
2019-08-17,"Fourhorn","V9A","8044",179.3,26.8,"2019",0.0200780814277747,"Detected"
2019-08-17,"Fourhorn","V9A","8042",110,23,"2019",0.0327272727272727,"Detected"
2019-08-18,"Fourhorn","V9","18145",34.7,16.6,"2019",0.103746397694524,"Detected"
2019-08-19,"Slimy","V9A","8030",80.7,18.7,"2019",0.0446096654275093,"Undetected"
2019-08-20,"Slimy","V9","18144",58.9,17.1,"2019",0.0611205432937182,"Detected"
2019-08-20,"Fourhorn","V9","18143",52.9,19.1,"2019",0.0680529300567108,"Detected"
2019-08-20,"Fourhorn","V9A","8038",90.9,23.5,"2019",0.0396039603960396,"Detected"
2019-08-21,"Fourhorn","V9","18142",34.3,16.8,"2019",0.104956268221574,"Detected"
2019-08-21,"Fourhorn","V9A","8036",52.8,19,"2019",0.0681818181818182,"Detected"
2019-08-21,"Fourhorn","V9","18141",28.9,15.9,"2019",0.124567474048443,"Detected"
2019-08-15,"Fourhorn","V9P","8049",110.1,29,"2019",0.0326975476839237,"Detected"
2019-08-16,"Fourhorn","V9P","8047",142.2,24.7,"2019",0.0253164556962025,"Detected"
2019-08-17,"Fourhorn","V9P","8045",179.3,26.8,"2019",0.0200780814277747,"Detected"
2019-08-17,"Fourhorn","V9P","8043",110,23,"2019",0.0327272727272727,"Detected"
2019-08-19,"Slimy","V9P","8031",80.7,18.7,"2019",0.0446096654275093,"Undetected"
2019-08-20,"Fourhorn","V9P","8039",90.9,23.5,"2019",0.0396039603960396,"Detected"
2019-08-21,"Fourhorn","V9P","8037",52.8,19,"2019",0.0681818181818182,"Detected"
